date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-05-07,sh.603939,69.0,69.93,66.26,66.33,1681144.0,113903035.0,3,4.20286,1,-5.2293,70.951073,7.821439999999999,4.471609,22.990842,0.0
2015-05-08,sh.603939,68.2,72.0,67.22,71.92,2086367.0,145802077.0,3,5.215917,1,8.4276,76.930516,8.480596,4.848457,24.928409,0.0
2015-05-11,sh.603939,71.95,77.3,71.95,76.84,2678386.0,201892272.0,3,6.695964999999999,1,6.8409,82.193283,9.060748,5.180137,26.633745,0.0
2015-05-12,sh.603939,76.2,84.52,74.42,84.52,3383598.0,269985040.0,3,8.458995,1,9.9948,90.408332,9.966352,5.697881,29.295733,0.0
2015-05-13,sh.603939,84.0,92.97,81.91,87.68,3678862.0,323748496.0,3,9.197155,1,3.7388,93.788483,10.33897,5.9109110000000005,30.39103,0.0
2015-05-14,sh.603939,87.78,92.0,85.0,90.23,2778986.0,248845026.0,3,6.947464999999999,1,2.9083,96.516136,10.639658,6.082818,31.274893,0.0
2015-05-15,sh.603939,89.05,89.9,83.0,84.2,2028584.0,174781579.0,3,5.07146,1,-6.6829,90.066038,9.928618,5.676308000000001,29.184816,0.0
2015-05-18,sh.603939,85.5,92.62,85.5,92.62,2749802.0,250705117.0,3,6.874505,1,10.0,99.072642,10.92148,6.243939,32.103297999999995,0.0
2015-05-19,sh.603939,94.4,100.0,89.48,93.73,2812622.0,268063555.0,3,7.031555,1,1.1984,100.259974,11.052368,6.3187690000000005,32.488039,0.0
2015-05-20,sh.603939,91.7,95.0,89.5,91.13,2457834.0,224939676.0,3,6.144585,1,-2.7739,97.478837,10.745784,6.143491,31.586845,0.0
2015-05-21,sh.603939,89.44,94.6,89.28,90.51,2201078.0,202613273.0,3,5.502695,1,-0.6803,96.815643,10.672675,6.101694,31.371945,0.0
2015-05-22,sh.603939,92.02,97.02,88.28,94.19,2933161.0,272945024.0,3,7.332903,1,4.0658,100.752021,11.10661,6.34978,32.647481,0.0
2015-05-25,sh.603939,92.89,103.61,90.5,103.61,3024149.0,301807856.0,3,7.560372,1,10.0011,110.828293,12.217389,6.984825,35.912575,0.0
2015-05-26,sh.603939,104.18,108.02,100.24,105.14,2276014.0,238179366.0,3,5.690035,1,1.4767,112.464885,12.397802,7.087969,36.442893,0.0
2015-05-27,sh.603939,103.99,115.65,103.05,115.65,1654445.0,183068218.0,3,4.136112000000001,1,9.9962,123.707094,13.63711,7.796496,40.085796,0.0
2015-05-28,sh.603939,117.07,127.22,109.0,109.97,2927837.0,353506832.0,3,7.319592,1,-4.9114,117.631381,12.967341,7.413582000000001,38.117034,0.0
2015-05-29,sh.603939,104.0,120.0,102.0,108.03,2116531.0,231090522.0,3,5.291328,1,-1.7641,115.556225,12.738582,7.282797,37.444605,0.0
2015-06-01,sh.603939,110.5,110.5,101.5,105.0,2524071.0,261028897.0,3,6.310177,1,-2.8048,112.315131,12.381293,7.078531,36.394367,0.0
2015-06-02,sh.603939,103.0,107.53,98.88,104.05,2831236.0,290468608.0,3,7.07809,1,-0.9048,111.298947,12.269272,7.014487,36.065085,0.0
2015-06-03,sh.603939,103.0,105.5,99.6,103.7,2149194.0,221679821.0,3,5.372985,1,-0.3364,110.924563,12.228001,6.990892,35.94377,0.0
2015-06-04,sh.603939,102.89,104.0,93.33,98.3,1872267.0,183516807.0,3,4.680668,1,-5.2073,105.148356,11.591249,6.626853,34.07206,0.0
2015-06-05,sh.603939,98.69,102.9,97.5,99.88,1892527.0,189617868.0,3,4.731318,1,1.6073,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-08,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
